city,tone,comment
Москва,negative ,"Очень плохо, что на открытии лета вместе было громко во дворике Морозова в рабочее время.;  Даже при закрытых окнах это отлично слышно внутри и мешает работать.;  Громкие активности надо планировать или ближе к вечеру или в специальных местах."
Калуга,positive ,Организаторы молодцы. Все получилось. Лето начинается!
Казань,neutral ,
Казань,positive ,
Казань,positive ,
Алматы,positive ,Супер! Больше такого!
Воронеж,positive ,
Москва,negative ,"Что в Москве, что в Белграде - если ты нормально работаешь, ходишь на встречи и общаешься с коллегами, у тебя просто НЕТ возможности сидеть обновлять страницу события, чтобы туда записаться. У меня полное ощущение, что этот проект - для бездельников Яндекса."
Воронеж,positive ,Все было супер. Спасибо большое организаторам) Наверно хотелось бы больше разнообразия в материалах )
Москва,negative ,не возможно успеть записаться на мероприятие какое хочешь - остаются уже какие-то не интресный. Например хотела записаться на прогулу на кораблике - вообще ни одного слота уже нет. Как успевать что-то забронироть-то?
Воронеж,positive ,Прекрасное мероприятие! Хочется больше подобных активностей и не только!
Новосибирск,negative ,"Зашёл в пределах 12 часов после запуска - всё уже разобрали, осталось только путешествие в мир сказок, на которое без детей как-то смысла и идти нет, а детей нет :("
Санкт-Петербург,negative ,"Обещали запись открывать в 15. Может быть я что то пропустил, может быть коллеги настолько кровожадные, но в 15 05 уже ничего не было"
Санкт-Петербург,positive ,"Меро класс. мороженка 12/10, люблю офис, жаль питерские 14-15:30 выпали на экзамен"
Москва,positive ,"Все было замечательно, мороженое досталось, лимонадов хватило! спасибо за организацию!"
Москва,positive ,"Спасибо за денёк. Поела мороженное - хорошая традиция настать с него лето ;) ;  Сделала магнит и держатель для бейджа. ;  Жаль, что рабочий день был и не успела на улице посидеть"
Санкт-Петербург,negative ,
Минск,neutral ,"Можете, пожалуйста, рассмотреть введение платных слотов с обязательством собрать мин. количество участников платников — я бы с удовольствием присоединился к части уже недоступным в таком формате и думаю найдутся единомышленники (могу в чате сотрудников замерить температуру)."
Санкт-Петербург,negative ,"Привет!;  ;  Невозможно записаться ни на одно мероприятие по статусу на 10.06. Это как то будет решаться?;  Обидно, что многие идут +1 или больше, а для сотрудников мест не остается."
Сочи,neutral ,"Коллеги, добрый день, после открытия записи в событиях, в Сочи увидел всего 3 активности по лето в месте (рисование с вином, треккинг, и поездка на пасеку);  Подскажите будет ли обновлятся ассортимент мероприятий вползу сапов\яхтинга\волейбола в общем чего то летнего."
Москва,positive ,По чаще практиковать и + 1 добавить
Москва,positive ,Очень интересный опыт
Москва,positive ,Невероятные ощущения после мероприятия ;  Отдохнула и перезагрузилась. класс!
Белград,positive ,
Белград,positive ,
Москва,positive ,Форму удобно открывать без входа в систему с паролем и кодом
Москва,positive ,
Москва,positive ,
Москва,positive ,"Экскурсия понравилась, немного портило атмосферу то, что маршрут не учитывал закрытые на реконструкцию улицы - часть пришлось протискиваться через строительные леса и заграждения"
Москва,positive ,"Очень понравились интерактивные вставки и то, как ловко одна истории перетекали в другую. Единственное — было жалко организатора, который нас сопровождал. Все в наушниках слушали рассказ, а он больше часа ходил с нами просто так. Предложение: выдавать наушники им тоже (как и зонт для остальных участников)"
Белград,positive ,
Белград,positive ,"Супер класс, активное классное командное мероприятие, ;потная катка;, хотим еще! Но 1 часа мало, т.к. только разыгрались: идеально было бы 2, или 1.5 :)"
Москва,positive ,"Маршрут тесноват немного для такого количества людей которые были. Истории интересные, но как-будто плохо связаны"
Москва,neutral ,
Москва,positive ,"Отличная интересная экскурсия, очень понравилось"
Москва,positive ,
Белград,positive ,"Было очень классно, хочу сходить еще."
Москва,positive ,
Москва,positive ,Все очень понравилось)
Москва,positive ,
Москва,positive ,
Москва,positive ,
Москва,positive ,"Классная организация, отличная девушка кондитер, были чай и сладости для перекуса"
Москва,positive ,"Все очень круто! Все понравилось!;  Все подробно объяснили и помогали все сделать, давали советы.;  А по окончанию у тебя и еще и торт на десерт. Восторг"
Санкт-Петербург,positive ,
Санкт-Петербург,positive ,
Санкт-Петербург,positive ,"Отличное мироприятие. Мастер-класс+своьодная игра, а комплексе очень продуктивно и инстересно вышло"
Санкт-Петербург,positive ,
Санкт-Петербург,positive ,
Москва,positive ,
Москва,positive ,
Москва,positive ,
Санкт-Петербург,positive ,
Москва,positive ,Спасибо большое за этот чудесный мастер класс. Все было идеально от организации до атмосферы на событии!
Москва,positive ,Побольше бы таких мероприятий
Москва,positive ,"В целом все понравилось, но было тесно"
Москва,positive ,
Москва,negative ,"В билете был неправильный адрес.;  Мастер класс заменили на арт терапию с акрилом, а я хотела именно акварель. Не пошла бы, если бы была заявлена фактическая тема.;  Было очень тесно, локтем к локтю сложно рисовать, демонстрации художницы тоже было не видно.;  Девушки из студии и куратор очень приятные, спокойно решали все вопросы."
Москва,neutral ,"Все прошло супер! Немного расстроило, что изначально в МК была заявлена акварель, а в итоге рисовали акриловыми красками"
Москва,positive ,
Москва,positive ,
Москва,neutral ,"Не особо много нового узнала, приготовлен было ощущение быстрей быстрей, но в итоге вкусно"
Москва,positive ,"Очень приятные организаторы, говорили на понятном и доступном языке, все очень легко слушалось и запоминалось. ;  Содержание лекции тоже очень понравилось. ;  Организация отличная, встретили, проводили, угостили чаем и сырниками.;  ;  Спасибо!"
Санкт-Петербург,neutral ,
Санкт-Петербург,positive ,
Санкт-Петербург,positive ,"Хотелось бы побольше времени около собора и в парке Фортов. А так мероприятие отличное, хороший экскурсовод и автобус"
Санкт-Петербург,positive ,
Санкт-Петербург,positive ,
Санкт-Петербург,positive ,
Санкт-Петербург,neutral ,"Уравнять процесс записи на события. Из-за того, что сервис в первые полчаса не стабильно работал, многие люди не могли воспользоваться. Однако был процент людей, кто мог выбирать и забрать самые интересные варианты"
Санкт-Петербург,positive ,"Потрясающий экскурсовод!!! Заряд положительных эмоций🔥;  Был минус, который случился из-за двух яндексоидов. Они опоздали после свободного времени прогулки минут на 25. Плбс они не отвечали на звонки. Считаю, что за это нужно блокировать как за неявку на мероприятие."
Санкт-Петербург,positive ,Оочень хорошо! Спасибо!
Санкт-Петербург,neutral ,
Санкт-Петербург,positive ,"Очень понравилось, замечательный тренер"
Санкт-Петербург,neutral ,
Санкт-Петербург,neutral ,"Не было мужской раздевалки, предложили переодеться в туалете. Я думаю можно было бы найти приятное помещение для такой цели, хотя бы просто какую-то переносную переодевалку"
Москва,positive ,
Москва,positive ,
Москва,positive ,
Москва,positive ,
Москва,positive ,Классная командная работа. Можно взять на вооружение какие то занятия для тимютлдингов
Москва,positive ,"Отличный мастер-класс. Спасибо нашему учителю и ребятами, было супер!"
Москва,positive ,
Москва,positive ,
Москва,neutral ,Особо ничего познавательного не было. Хотелось бы какой-то стройной истории. Или интересных случаев из практики
Москва,positive ,"Очень классно организовано, даже чай с пирогом есть. Получила интересный опыт по украшению торта"
Москва,positive ,
Москва,positive ,
Москва,positive ,"Все понравилось);  Все было интересно + еда была очень вкусной.;  Наверное, единственное, что тема мероприятия неравно тому, что было. Но все равно это было мега интересно и смешно."
Москва,positive ,"Хотим снова бинго шоу;  Было супер крутое в том году.;  Повторите, пожалуйста🙏;  ;  Это мероприятие огонь"
Москва,positive ,"Классно, про взаимодействие с людьми, здоровский тренер, упражнения и атмосфера ;  ;  Хотелось бы чуть меньше людей (было 30 чел) и меньше продолжительность, так как немного подустала."
Москва,positive ,Интересно и барно)
Москва,positive ,Очень понравилось
Москва,positive ,
Санкт-Петербург,positive ,
Санкт-Петербург,positive ,
Москва,positive ,"Огонь! Спасибо за организацию и фуршет! Очень вкусно, познавательно и душевно!"
Москва,positive ,
Москва,positive ,"Была интересная лекция, но под конец немного устал"
Москва,positive ,
Москва,neutral ,Было немного тесновато
Санкт-Петербург,positive ,"Всë было супер) Девушки в студии живописи были очень классные, мяшко и ненавязчиво помогали с рисоанием, и девушка-куратор тоже"
Москва,positive ,"Хорошее место, здорово, что можно с +1"
Москва,positive ,
Москва,positive ,
